transaction_id,product_id,amount
1,P101,120.5
2,P102,75.0
3,P103,200.0
4,P101,50.0
5,P104,300.0
6,P102,25.5
7,P103,180.0
8,P105,90.0
9,P101,130.0
10,P104,220.0
11,P102,60.0
12,P103,95.5
13,P105,110.0
14,P106,250.0
15,P106,150.0
16,P101,80.0
17,P104,175.0
18,P102,40.0
19,P103,210.0
20,P105,70.0
21,P106,100.0
22,P107,300.0
23,P107,120.0
24,P108,55.0
25,P108,65.0
26,P109,400.0
27,P109,150.0
28,P110,90.0
29,P110,60.0
30,P101,95.0
31,P102,85.0
32,P103,140.0
33,P104,160.0
34,P105,130.0
35,P106,175.0
36,P107,200.0
37,P108,45.0
38,P109,220.0
39,P110,75.0
40,P101,60.0
